Latitude,Longitude,UTM_Easting,UTM_Northing,UTM_Zone_Number,UTM_Zone_Letter
55.914765,9.203732,512734.260272355,6196611.97995458,32,U
55.914767,9.203731,512734.1971119803,6196612.202361469,32,U
55.914768,9.203728,512734.00926965417,6196612.313104739,32,U
55.914769,9.203726,512733.88393219415,6196612.424032083,32,U
55.914771,9.203723,512733.6957621418,6196612.646070847,32,U
55.914772,9.20372,512733.5079198478,6196612.756814138,32,U
55.914773,9.203716,512733.25757271657,6196612.867373377,32,U
55.914775,9.203711,512732.94439302676,6196613.089044059,32,U
55.914776,9.203706,512732.63154108566,6196613.199419284,32,U
55.914778,9.203701,512732.31836145045,6196613.421090011,32,U
55.914779,9.203695,512731.94300471066,6196613.531281238,32,U
55.91478,9.203689,512731.5676479901,6196613.641472498,32,U
55.914782,9.203681,512731.06695394113,6196613.862591217,32,U
55.914783,9.203674,512730.62909244106,6196613.972598533,32,U
55.914784,9.203666,512730.12872613105,6196614.08242188,32,U
55.914786,9.203657,512729.5655273797,6196614.30335676,32,U
55.914787,9.203648,512729.002656311,6196614.4129962325,32,U
55.914788,9.203639,512728.4397852695,6196614.5226357775,32,U
55.91479,9.20363,512727.8765866626,6196614.743570878,32,U
55.914791,9.20362,512727.2512108752,6196614.853026598,32,U
55.914792,9.20361,512726.6258351199,6196614.962482409,32,U
55.914793,9.203599,512725.9379545786,6196615.071754356,32,U
55.914795,9.203588,512725.2497465473,6196615.292321893,32,U
55.914796,9.203577,512724.5618660957,6196615.40159406,32,U
55.914798,9.203566,512723.87365818635,6196615.622161817,32,U
55.9148,9.203555,512723.1854503491,6196615.842729685,32,U
55.914802,9.203544,512722.49724258255,6196616.063297661,32,U
55.914805,9.203533,512721.8087074467,6196616.39516123,32,U
55.914807,9.203523,512721.183004633,6196616.61591331,32,U
55.91481,9.203512,512720.4944696881,6196616.947777087,32,U
55.914813,9.203501,512719.8059348476,6196617.2796409745,32,U
55.914816,9.203491,512719.1799048943,6196617.611688825,32,U
55.91482,9.203481,512718.5535476826,6196618.055032251,32,U
55.914824,9.203471,512717.9271905978,6196618.498375767,32,U
55.914828,9.203461,512717.30083364306,6196618.941719375,32,U
55.914832,9.203451,512716.6744768153,6196619.385063071,32,U
55.914837,9.203442,512716.110297573,6196619.939886154,32,U
55.914841,9.203432,512715.48394101183,6196620.383230025,32,U
55.914846,9.203423,512714.91976205225,6196620.9380532615,32,U
55.91485,9.203413,512714.29340575775,6196621.381397304,32,U
55.914855,9.203403,512713.6667223639,6196621.936036921,32,U
55.914859,9.203392,512712.9778616319,6196622.3791973805,32,U
55.914864,9.203381,512712.2886738488,6196622.933653434,32,U
55.914869,9.203369,512711.5369815479,6196623.487925851,32,U
55.914873,9.203357,512710.7856165952,6196623.930902915,32,U
55.914882,9.203333,512709.28256003535,6196624.928152919,32,U
55.914887,9.20332,512708.46836380125,6196625.482242159,32,U
55.914891,9.203307,512707.654494851,6196625.925036068,32,U
55.914895,9.203294,512706.84062606783,6196626.36783013,32,U
55.914899,9.20328,512705.9642528052,6196626.81044068,32,U
55.914902,9.203266,512705.08820673166,6196627.141755925,32,U
55.914906,9.203252,512704.21183380624,6196627.58436683,32,U
55.914909,9.203238,512703.33578802476,6196627.9156824285,32,U
55.914912,9.203224,512702.4597423798,6196628.246998204,32,U
55.914916,9.20321,512701.58336994884,6196628.689609643,32,U
55.914919,9.203197,512700.76982920873,6196629.021109361,32,U
55.914921,9.203184,512699.9566154711,6196629.24131375,32,U
55.914924,9.203173,512699.26808417146,6196629.573180909,32,U
55.914926,9.203162,512698.57987982134,6196629.793752693,32,U
55.914928,9.203154,512698.07918933994,6196630.014875232,32,U
55.91493,9.203146,512697.57849891146,6196630.23599783,32,U
55.914932,9.203139,512697.1403131263,6196630.457304021,32,U
55.914933,9.203133,512696.76495877164,6196630.567498302,32,U
55.914934,9.203128,512696.452109025,6196630.677876144,32,U
55.914936,9.203124,512696.20143710374,6196630.899733014,32,U
55.914937,9.203121,512696.0135965665,6196631.010477935,32,U
55.914938,9.203118,512695.8257560405,6196631.121222863,32,U
55.914939,9.203117,512695.76292468706,6196631.232334831,32,U
55.91494,9.203117,512695.76259791746,6196631.343630317,32,U
55.914941,9.203117,512695.76227114786,6196631.454925803,32,U
55.914941,9.203118,512695.8247757269,6196631.45510932,32,U
55.914943,9.203119,512695.8866267603,6196631.677883811,32,U
55.914944,9.20312,512695.94880456163,6196631.789362815,32,U
55.914945,9.203121,512696.0109823582,6196631.900841823,32,U
55.914946,9.203122,512696.0731601531,6196632.01232083,32,U
55.914947,9.203122,512696.0728333755,6196632.123616314,32,U
55.914948,9.203123,512696.1350111656,6196632.235095322,32,U
